id,match_id,half,team_name,name,start,end
106,1,One,Team B,OUT_POSSESSION,12677,13429
107,1,One,Team A,IN_POSSESSION,13430,13431
108,1,One,Team B,OUT_POSSESSION,13430,13431
109,1,One,Team A,IN_POSSESSION,13464,13559
110,1,One,Team B,OUT_POSSESSION,13464,13559
111,1,One,Team B,IN_POSSESSION,13560,15655
112,1,One,Team A,OUT_POSSESSION,13560,15655
113,1,One,Team B,IN_POSSESSION,15656,15657
114,1,One,Team A,OUT_POSSESSION,15656,15657
115,1,One,Team B,IN_POSSESSION,15682,15832
116,1,One,Team A,OUT_POSSESSION,15682,15832
117,1,One,Team A,IN_POSSESSION,15833,16094
118,1,One,Team B,OUT_POSSESSION,15833,16094
119,1,One,Team A,IN_POSSESSION,16154,16272
120,1,One,Team B,OUT_POSSESSION,16154,16272
121,1,One,Team B,IN_POSSESSION,16273,16288
122,1,One,Team A,OUT_POSSESSION,16273,16288
123,1,One,Team B,IN_POSSESSION,16324,16977
124,1,One,Team A,OUT_POSSESSION,16324,16977
125,1,One,Team A,IN_POSSESSION,16978,18146
126,1,One,Team B,OUT_POSSESSION,16978,18146
127,1,One,Team B,IN_POSSESSION,18147,18309
128,1,One,Team A,OUT_POSSESSION,18147,18309
129,1,One,Team A,IN_POSSESSION,18310,18619
130,1,One,Team B,OUT_POSSESSION,18310,18619
131,1,One,Team B,IN_POSSESSION,18620,19087
132,1,One,Team A,OUT_POSSESSION,18620,19087
133,1,One,Team A,IN_POSSESSION,19088,19496
134,1,One,Team B,OUT_POSSESSION,19088,19496
135,1,One,Team A,IN_POSSESSION,19497,19505
136,1,One,Team B,OUT_POSSESSION,19497,19505
137,1,One,Team A,IN_POSSESSION,19509,19965
138,1,One,Team B,OUT_POSSESSION,19509,19965
139,1,One,Team B,IN_POSSESSION,19966,20082
140,1,One,Team A,OUT_POSSESSION,19966,20082
141,1,One,Team B,IN_POSSESSION,20083,20084
142,1,One,Team A,OUT_POSSESSION,20083,20084
143,1,One,Team B,IN_POSSESSION,20116,20119
144,1,One,Team A,OUT_POSSESSION,20116,20119
145,1,One,Team A,IN_POSSESSION,20140,20208
146,1,One,Team B,OUT_POSSESSION,20140,20208
147,1,One,Team B,IN_POSSESSION,20209,20340
148,1,One,Team A,OUT_POSSESSION,20209,20340
149,1,One,Team A,IN_POSSESSION,20341,20492
150,1,One,Team B,OUT_POSSESSION,20341,20492
151,1,One,Team B,IN_POSSESSION,20493,20505
152,1,One,Team A,OUT_POSSESSION,20493,20505
153,1,One,Team A,IN_POSSESSION,20506,20536
154,1,One,Team B,OUT_POSSESSION,20506,20536
155,1,One,Team B,IN_POSSESSION,20537,20627
156,1,One,Team A,OUT_POSSESSION,20537,20627
157,1,One,Team A,IN_POSSESSION,20628,21142
158,1,One,Team B,OUT_POSSESSION,20628,21142
159,1,One,Team B,IN_POSSESSION,21143,21178
160,1,One,Team A,OUT_POSSESSION,21143,21178
161,1,One,Team B,IN_POSSESSION,21275,21355
162,1,One,Team A,OUT_POSSESSION,21275,21355
163,1,One,Team A,IN_POSSESSION,21356,21828
164,1,One,Team B,OUT_POSSESSION,21356,21828
165,1,One,Team B,IN_POSSESSION,21829,22781
166,1,One,Team A,OUT_POSSESSION,21829,22781
167,1,One,Team A,IN_POSSESSION,22782,22832
168,1,One,Team B,OUT_POSSESSION,22782,22832
169,1,One,Team A,IN_POSSESSION,22833,22834
170,1,One,Team B,OUT_POSSESSION,22833,22834
171,1,One,Team B,IN_POSSESSION,22870,23220
172,1,One,Team A,OUT_POSSESSION,22870,23220
173,1,One,Team A,IN_POSSESSION,23221,23478
174,1,One,Team B,OUT_POSSESSION,23221,23478
175,1,One,Team B,IN_POSSESSION,23479,23583
176,1,One,Team A,OUT_POSSESSION,23479,23583
177,1,One,Team A,IN_POSSESSION,23584,23632
178,1,One,Team B,OUT_POSSESSION,23584,23632
179,1,One,Team A,IN_POSSESSION,23716,24184
180,1,One,Team B,OUT_POSSESSION,23716,24184
181,1,One,Team B,IN_POSSESSION,24185,24211
182,1,One,Team A,OUT_POSSESSION,24185,24211
183,1,One,Team B,IN_POSSESSION,24212,24218
